SITEVISITID,ISLAND,SITE,REEF_ZONE,LATITUDE,LONGITUDE,DEPTH,DEPTH_BIN,DATE_,OBS_YEAR,ANALYSIS_YEAR
4849,Jarvis,JAR-00249,Forereef,-0.37199732,-160.0105315,4,Shallow,4/5/12,2012,2012
4825,Jarvis,JAR-00255,Forereef,-0.38107224,-160.0096442,4.25,Shallow,3/5/12,2012,2012
4879,Jarvis,JAR-00257,Forereef,-0.36924806,-159.9842439,4.35,Shallow,6/5/12,2012,2012
4828,Jarvis,JAR-00259,Forereef,-0.37919512,-159.9816022,6.75,Shallow,3/5/12,2012,2012
4886,Jarvis,JAR-00261,Forereef,-0.375579,-160.0132303,5.15,Shallow,6/5/12,2012,2012
4829,Jarvis,JAR-00262,Forereef,-0.3813377,-159.986483,3.95,Shallow,3/5/12,2012,2012
4826,Jarvis,JAR-00263,Forereef,-0.37680309,-160.0140755,3.8,Shallow,3/5/12,2012,2012
4856,Jarvis,JAR-00264,Forereef,-0.36706281,-160.0068008,3.75,Shallow,5/5/12,2012,2012
4847,Jarvis,JAR-00265,Forereef,-0.38141364,-159.9966629,5.05,Shallow,4/5/12,2012,2012
4880,Jarvis,JAR-00266,Forereef,-0.37295194,-159.9839085,4.6,Shallow,6/5/12,2012,2012
4882,Jarvis,JAR-00267,Forereef,-0.38138883,-159.9999938,6.85,Shallow,6/5/12,2012,2012
4854,Jarvis,JAR-00268,Forereef,-0.36256869,-159.9989159,5.6,Shallow,5/5/12,2012,2012
4885,Jarvis,JAR-00269,Forereef,-0.38206818,-160.0035339,6.55,Shallow,6/5/12,2012,2012
2508,Jarvis,JAR-00422,Forereef,-0.37506,-159.97232,19,Deep,5/4/10,2010,2010
8766,Jarvis,JAR-00423,Forereef,-0.36118266,-159.9986063,21.8,Deep,12/4/15,2015,2015
8698,Jarvis,JAR-00424,Forereef,-0.38146368,-160.0119258,21.4,Deep,9/4/15,2015,2015
8704,Jarvis,JAR-00426,Forereef,-0.38243975,-160.0033367,24,Deep,9/4/15,2015,2015
8719,Jarvis,JAR-00428,Forereef,-0.36716357,-159.9793781,15.4,Deep,10/4/15,2015,2015
8764,Jarvis,JAR-00430,Forereef,-0.36327537,-160.0049524,21.1,Deep,12/4/15,2015,2015
8750,Jarvis,JAR-00433,Forereef,-0.36258294,-159.9924487,21.8,Deep,11/4/15,2015,2015
8772,Jarvis,JAR-00434,Forereef,-0.36170888,-160.0028816,24.85,Deep,12/4/15,2015,2015
8726,Jarvis,JAR-00435,Forereef,-0.3699135,-159.9761676,22.5,Deep,10/4/15,2015,2015
8706,Jarvis,JAR-00436,Forereef,-0.38246306,-159.9792033,22.4,Deep,9/4/15,2015,2015
8744,Jarvis,JAR-00437,Forereef,-0.36425354,-159.9860228,24.55,Deep,11/4/15,2015,2015
8728,Jarvis,JAR-00443,Forereef,-0.37238709,-159.9759576,9.3,Mid,10/4/15,2015,2015
8732,Jarvis,JAR-00447,Forereef,-0.38203038,-159.975153,10.65,Mid,10/4/15,2015,2015
8774,Jarvis,JAR-00449,Forereef,-0.36555927,-159.9826927,13.25,Mid,12/4/15,2015,2015
8699,Jarvis,JAR-00453,Forereef,-0.381892,-160.0011468,10.35,Mid,9/4/15,2015,2015
