date,SITEVISITID,SITE,ISLAND,sst,summer_mean,winter_mean,summer_sd,winter_sd,hot_snap,cold_snap,accumulated_hot_snap,accumulated_cold_snap,accumulated_hot_snap_week,accumulated_cold_snap_week
1985-04-01,NA,NA,NA,25.323666445414226,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,0,0,-0.6270618893230507
1985-04-02,NA,NA,NA,25.20933329264323,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,-0.11404125276701649,0,-0.11404125276701649,0,-0.6270618893230507
1985-04-03,NA,NA,NA,24.52533327738444,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,-0.7980412680258056,0,-0.912082520792822,0,-0.6270618893230507
1985-04-04,NA,NA,NA,25.67233327229818,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-0.912082520792822,0,-0.6270618893230507
1985-04-05,NA,NA,NA,25.544000116984048,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-0.912082520792822,0,-0.6270618893230507
1985-04-06,NA,NA,NA,25.596666653951008,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-0.912082520792822,0,-0.6270618893230507
1985-04-07,NA,NA,NA,25.47000001271566,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-0.912082520792822,0,-2.329165255935301
1985-04-08,NA,NA,NA,25.55266679128011,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-0.912082520792822,0,-2.329165255935301
1985-04-09,NA,NA,NA,24.74633331298828,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,-0.5770412324219656,0,-1.4891237532147876,0,-2.329165255935301
1985-04-10,NA,NA,NA,24.413666598002116,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,-0.9097079474081298,0,-2.3988317006229174,0,-2.329165255935301
1985-04-11,NA,NA,NA,24.463999430338543,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,-0.8593751150717033,0,-3.2582068156946207,0,-2.329165255935301
1985-04-12,NA,NA,NA,24.914666620890298,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,-0.4087079245199483,0,-3.666914740214569,0,-2.329165255935301
1985-04-13,NA,NA,NA,25.62199993133545,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-3.666914740214569,0,-2.329165255935301
1985-04-14,NA,NA,NA,25.58700002034505,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-3.666914740214569,0,-3.8806460600883383
1985-04-15,NA,NA,NA,25.126000022888185,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,-0.1973745225220611,0,-3.86428926273663,0,-3.8806460600883383
1985-04-16,NA,NA,NA,25.261000124613442,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,-0.062374420796803776,0,-3.926663683533434,0,-3.8806460600883383
1985-04-17,NA,NA,NA,25.448999977111818,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-3.926663683533434,0,-3.8806460600883383
1985-04-18,NA,NA,NA,25.411999956766763,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-3.926663683533434,0,-3.8806460600883383
1985-04-19,NA,NA,NA,26.206999905904134,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-3.926663683533434,0,-3.8806460600883383
1985-04-20,NA,NA,NA,25.675999959309895,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-3.926663683533434,0,-3.8806460600883383
1985-04-21,NA,NA,NA,25.76266663869222,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-3.926663683533434,0,-3.926663683533434
1985-04-22,NA,NA,NA,25.915666643778483,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-3.926663683533434,0,-3.926663683533434
1985-04-23,NA,NA,NA,26.852333323160806,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-3.926663683533434,0,-3.926663683533434
1985-04-24,NA,NA,NA,27.584666697184243,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-3.926663683533434,0,-3.926663683533434
1985-04-25,NA,NA,NA,27.757333501180014,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-3.926663683533434,0,-3.926663683533434
1985-04-26,NA,NA,NA,27.38000005086263,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-3.926663683533434,0,-3.926663683533434
1985-04-27,NA,NA,NA,27.17199986775716,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-3.926663683533434,0,-3.926663683533434
1985-04-28,NA,NA,NA,27.11099993387858,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-3.926663683533434,0,-3.926663683533434
1985-04-29,NA,NA,NA,27.266333262125652,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-3.926663683533434,0,-3.926663683533434
1985-04-30,NA,NA,NA,27.212666702270507,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-3.926663683533434,0,-3.926663683533434
1985-05-01,NA,NA,NA,27.225666681925457,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-3.926663683533434,0,-3.926663683533434
