date,SST,climatology,SSTA,TSA,DHW_cml
2015-07-25,29.058999633789064,27.35311567994202,1.7058839538470423,0.9391560885371,13.586740505452056
2015-07-26,29.231999588012695,27.35311567994202,1.878883908070673,1.1121560427607307,13.00207355395466
2015-07-27,29.639666684468587,27.35311567994202,2.286551004526565,1.5198231392166228,12.92340712125609
2015-07-28,29.622666994730633,27.35311567994202,2.269551314788611,1.5028234494786687,12.74207453306029
2015-07-29,29.721333503723145,27.35311567994202,2.368217823781123,1.6014899584711806,12.63307477211465
2015-07-30,29.424333381652833,27.27559183990063,2.1487415417522016,1.3044898364008688,12.28507443642129
2015-07-31,29.67199986775716,27.27559183990063,2.3964080278565305,1.5521563225051977,12.250074779744043
2015-08-01,29.77733383178711,27.27559183990063,2.5017419918864796,1.6574902865351469,12.514741909260646
2015-08-02,29.60466702779134,27.27559183990063,2.3290751878907088,1.484823482539376,12.73807564949502
2015-08-03,29.603000005086262,27.27559183990063,2.3274081651856307,1.483156459834298,13.21840897774209
2015-08-04,29.51833330790202,27.27559183990063,2.2427414680013875,1.3984897626500548,14.616898740392145
2015-08-05,29.55866667429606,27.27559183990063,2.2830748343954284,1.4388231290440956,16.05572186943624
2015-08-06,29.50033334096273,27.093564618688053,2.406768722274677,1.3804897957107656,17.436211665147006
2015-08-07,29.243333307902017,27.093564618688053,2.149768689213964,1.1234897626500526,17.447545385036328
2015-08-08,29.435666465759276,27.093564618688053,2.3421018470712234,1.315822920507312,17.243545166327017
2015-08-09,29.455666732788085,27.093564618688053,2.3621021141000327,1.3358231875361213,17.07654490438447
2015-08-10,29.39899991353353,27.093564618688053,2.305435294845477,1.2791563682815656,16.754211314194855
2015-08-11,29.38200003306071,27.093564618688053,2.288435414372657,1.2621564878087455,16.71187796560273
2015-08-12,29.382999992370607,27.093564618688053,2.2894353736825543,1.263156447118643,16.422878090216177
2015-08-13,29.702666664123534,27.098972266250186,2.6036943978733476,1.5828231188715698,16.3482109225526
2015-08-14,29.218999989827473,27.098972266250186,2.1200277235772873,1.0991564445755095,15.962543884588733
2015-08-15,29.60533332824707,27.098972266250186,2.506361061996884,1.4854897829951064,15.964877207749542
2015-08-16,29.721333312988282,27.098972266250186,2.622361046738096,1.601489767736318,16.167877212835805
2015-08-17,29.73166675567627,27.098972266250186,2.6326944894260826,1.6118232104243049,16.340877294216014
2015-08-18,29.973000144958498,27.098972266250186,2.8740278787083113,1.8531565997065336,16.813544098211782
2015-08-19,29.821333185831705,27.098972266250186,2.7223609195815186,1.7014896405797408,17.39154397614147
2015-08-20,29.66566670735677,27.164129220871697,2.5015374864850735,1.5458231621048064,17.621544217738965
2015-08-21,29.8603333791097,27.164129220871697,2.696204158238004,1.7404898338577368,18.02621086406058
2015-08-22,29.809333292643228,27.164129220871697,2.6452040717715306,1.6894897473912636,18.436544243170278
2015-08-23,29.63799991607666,27.164129220871697,2.473870695204962,1.5181563708246948,18.692544126186228
2015-08-24,29.705999883015952,27.164129220871697,2.5418706621442553,1.5861563377639882,19.015544016831573
2015-08-25,29.961666742960613,27.164129220871697,2.7975375220889163,1.8418231977086492,19.274544095668652
2015-08-26,29.96833324432373,27.164129220871697,2.8042040234520336,1.8484896990717665,20.02387735016491
2015-08-27,29.7966667175293,27.039727889599444,2.7569388279298543,1.6768231722773344,20.215210739447137
2015-08-28,29.62733332316081,27.039727889599444,2.5876054335613645,1.5074897779088445,20.121210749619664
2015-08-29,29.763666725158693,27.039727889599444,2.723938835559249,1.6438231799067289,20.153210719102088
2015-08-30,29.828666750590006,27.039727889599444,2.7889388609905623,1.7088232053380423,20.008877324733596
2015-08-31,29.65566635131836,27.039727889599444,2.6159384617189154,1.5358228060663954,19.84321049022025
2015-09-01,29.830333264668784,27.039727889599444,2.7906053750693403,1.7104897194168203,20.007877047532265
2015-09-02,29.740333302815756,27.039727889599444,2.700605413216312,1.6204897575637922,19.88787697123832
2015-09-03,29.59466667175293,27.20994556842207,2.3847211033308575,1.474823126500965,19.673210350348022
2015-09-04,29.47066656748454,27.20994556842207,2.2607209990624675,1.350823022232575,19.505877001755902
2015-09-05,29.834666697184243,27.20994556842207,2.6247211287621717,1.7148231519322792,19.634543815924193
2015-09-06,29.778666814168293,27.20994556842207,2.5687212457462216,1.6588232689163291,19.451543887131873
2015-09-07,29.937999852498372,27.20994556842207,2.7280542840763005,1.818156307246408,19.421210495306514
2015-09-08,29.908333206176756,27.20994556842207,2.698387637754685,1.7884896609247924,19.532876983953972
2015-09-09,29.966999435424803,27.20994556842207,2.757053867002732,1.8471558901728393,19.872543096217967
2015-09-10,29.821666526794434,27.136367326853225,2.685299199941209,1.7018229815424704,19.93054289785371
2015-09-11,29.714333216349285,27.136367326853225,2.5779658894960598,1.594489671097321,19.816209363612987
2015-09-12,29.67899996439616,27.136367326853225,2.5426326375429333,1.5591564191441947,19.839542976690787
2015-09-13,29.700333468119304,27.136367326853225,2.5639661412660786,1.58048992286734,19.709543180141306
2015-09-14,29.59366652170817,27.136367326853225,2.4572991948549436,1.473822976456205,19.56287639903372
2015-09-15,29.38500010172526,27.136367326853225,2.2486327748720356,1.265156556473297,19.35320982900605
2015-09-16,29.545666694641113,27.136367326853225,2.409299367787888,1.4258231493891493,19.428209956162625
2015-09-17,29.581666628519695,26.991925168199604,2.5897414603200914,1.4618230832677312,19.175209887498077
2015-09-18,29.584666697184243,26.991925168199604,2.5927415289846394,1.4648231519322792,18.981209770514027
2015-09-19,29.559000142415364,26.991925168199604,2.5670749742157604,1.4391565971634002,18.60221006043102
2015-09-20,29.471332804361978,26.991925168199604,2.4794076361623745,1.3514892591100143,18.16520965861624
2015-09-21,29.237999725341798,26.991925168199604,2.246074557142194,1.1181561800898336,17.436209948533236
2015-09-22,29.106666819254556,26.991925168199604,2.1147416510549526,0.9868232740025924,15.734386966990765
2015-09-23,29.253666750590007,26.991925168199604,2.2617415823904032,1.133823205338043,15.273720501231487
2015-09-24,29.381666501363117,26.929721100476325,2.4519454008867925,1.2618229561111534,14.976387038198446
2015-09-25,28.87366682688395,26.929721100476325,1.9439457264076268,0.7538232816319876,13.395897115331106
2015-09-26,29.2133326848348,26.929721100476325,2.283611584358475,1.093489139582836,13.015563278457737
2015-09-27,29.08966681162516,26.929721100476325,2.1599457111488363,0.9698232663731972,11.75040672198444
2015-09-28,29.269333775838216,26.929721100476325,2.3396126753618915,1.1494902305862524,11.474073803181543
2015-09-29,29.476333363850912,26.929721100476325,2.5466122633745876,1.3564898185989485,11.36874053851276
2015-09-30,29.44766648610433,26.929721100476325,2.5179453856280034,1.3278229408523643,11.231740327432846
2015-10-01,29.375333404541017,26.894972766175563,2.480360638365454,1.255489859289053,11.048073589558498
2015-10-02,29.606999905904136,26.894972766175563,2.7120271397285727,1.4871563606521718,11.183740691100656
2015-10-03,29.419333330790202,26.894972766175563,2.524360564614639,1.2994897855382384,11.36507429654906
2015-10-04,29.51400000254313,26.894972766175563,2.619027236367568,1.3941564572911673,12.759230753840228
2015-10-05,29.413999875386555,26.894972766175563,2.5190271092109917,1.2941563301345909,12.919563878636776
2015-10-06,29.495999972025555,26.894972766175563,2.6010272058499915,1.3761564267735906,13.033897349299213
2015-10-07,29.58333339691162,26.894972766175563,2.6883606307360566,1.4634898516596557,14.497387200958869
2015-10-08,29.442999903361002,26.842170065276477,2.6008298380845254,1.3231563581090384,14.727054419485071
2015-10-09,29.63599993387858,26.842170065276477,2.793829868602103,1.5161563886266158,16.243210808111687
2015-10-10,29.49833329518636,26.842170065276477,2.6561632299098825,1.3784897499343955,16.47221032745983
2015-10-11,29.66166655222575,26.842170065276477,2.819496486949273,1.541823006973786,16.657543515834668
2015-10-12,29.634333610534668,26.842170065276477,2.792163545258191,1.514490065282704,16.844210640265008
2015-10-13,29.783333396911623,26.842170065276477,2.9411633316351455,1.6634898516596586,17.252210632635613
2015-10-14,29.94766648610433,26.842170065276477,3.1054964208278513,1.8278229408523643,17.592877212835806
2015-10-15,29.99233315785726,27.035850343250093,2.956482814607167,1.8724896126052961,18.165877039902863
2015-10-16,30.01699988047282,27.035850343250093,2.981149537222727,1.8971563352208562,18.668876917832552
2015-10-17,29.973999786376954,27.035850343250093,2.9381494431268607,1.85415624112499,19.22887682882295
2015-10-18,30.02533384958903,27.035850343250093,2.989483506338935,1.9054903043370643,19.758210706386425
2015-10-19,30.38433354695638,27.035850343250093,3.3484832037062873,2.2644900017044165,20.559210856431186
2015-10-20,30.36200008392334,27.035850343250093,3.326149740673248,2.2421565386713773,21.478211036993525
2015-10-21,30.41999994913737,27.035850343250093,3.384149605887277,2.3001564038854063,22.262211052252315
2015-10-22,30.396333312988283,27.322646257828694,3.0736870551595885,2.2764897677363187,23.16021107005424
2015-10-23,30.378999964396158,27.322646257828694,3.0563537065674637,2.259156419144194,23.877544482224646
2015-10-24,30.62166665395101,27.322646257828694,3.299020396122316,2.501823108699046,24.86487752564099
2015-10-25,30.679999923706056,27.322646257828694,3.357353665877362,2.560156378454092,25.761544052435422
2015-10-26,30.584333165486655,27.322646257828694,3.2616869076579604,2.4644896202346906,26.39821073181775
2015-10-27,30.64299971262614,27.322646257828694,3.320353454797445,2.523156167374175,27.048877286586627
2015-10-28,30.592999903361,27.322646257828694,3.270353645532307,2.473156358109037,27.624877309474808
2015-10-29,30.520333417256673,27.232877561348637,3.2874558559080356,2.4004898720047088,28.171210940354527
2015-10-30,30.096333440144857,27.232877561348637,2.86345587879622,1.976489894892893,28.242210530910356
2015-10-31,30.539666748046876,27.232877561348637,3.3067891866982393,2.4198232027949125,28.39754373200085
2015-11-01,30.728332901000975,27.232877561348637,3.495455339652338,2.608489355749011,28.763876549078486
2015-11-02,30.74533322652181,27.232877561348637,3.5124556651731744,2.6254896812698476,29.089209826462927
2015-11-03,30.821666526794434,27.232877561348637,3.588788965445797,2.7018229815424704,29.51454304026908
2015-11-04,30.683666928609213,27.232877561348637,3.450789367260576,2.5638233833572492,29.819210004482134
2015-11-05,30.445000394185385,27.044734717388543,3.4002656767968418,2.325156848933421,29.64254374471651
2015-11-06,30.495666567484538,27.044734717388543,3.4509318500959942,2.3758230222325736,29.45821038849499
2015-11-07,30.196000226338704,27.044734717388543,3.1512655089501607,2.07615668108674,29.06987744934704
2015-11-08,30.449333318074544,27.044734717388543,3.4045986006860005,2.32948977282258,28.876211054795444
2015-11-09,30.63900000254313,27.044734717388543,3.594265285154588,2.5191564572911673,28.922211153977575
2015-11-10,30.65499973297119,27.044734717388543,3.610265015582648,2.5351561877192275,29.056877469692093
2015-11-11,30.42533327738444,27.044734717388543,3.380598559995896,2.305489732132475,29.385877306931675
2015-11-12,30.58200003306071,27.171176888342618,3.4108231447180906,2.4621564878087447,29.428210591945508
2015-11-13,30.49333356221517,27.171176888342618,3.322156673872552,2.3734900169632063,29.193211253159703
2015-11-14,30.679666837056477,27.171176888342618,3.5084899487138586,2.5598232918045127,29.127544863694368
2015-11-15,30.67833334604899,27.171176888342618,3.5071564577063725,2.5584898007970267,28.984211682948924
2015-11-16,30.528000132242838,27.171176888342618,3.3568232439002195,2.4081565869908736,28.82854488658255
2015-11-17,30.718999989827473,27.171176888342618,3.5478231014848554,2.5991564445755095,29.102544482224637
2015-11-18,30.63000005086263,27.171176888342618,3.4588231625200123,2.5101565056106665,29.23687796560273
2015-11-19,30.950333213806154,27.083217653287512,3.8671155605186414,2.83048966855419,29.99121095307018
2015-11-20,30.645333099365235,27.083217653287512,3.5621154460777227,2.525489554113271,30.18721073436087
2015-11-21,30.2766668955485,27.083217653287512,3.1934492422609893,2.1568233502965377,29.82487762736624
2015-11-22,30.23466657002767,27.083217653287512,3.151448916740158,2.1148230247757063,29.40454446442272
2015-11-23,30.155333264668783,27.083217653287512,3.072115611381271,2.0354897194168196,29.134544451707065
2015-11-24,30.106333287556968,27.083217653287512,3.0231156342694554,1.9864897423050039,28.658877706203324
2015-11-25,30.10099983215332,27.083217653287512,3.017782178865808,1.9811562869013564,28.266543976141474
2015-11-26,30.404333305358886,27.153693867378493,3.250639437980393,2.284489760106922,27.991210444443883
2015-11-27,30.448333168029784,27.153693867378493,3.2946393006512906,2.32848962277782,27.761210266424676
2015-11-28,30.518666585286457,27.153693867378493,3.364972717907964,2.398823040034493,27.751876719468296
2015-11-29,30.4339999516805,27.153693867378493,3.2803060843020084,2.3141564064285376,27.466876681321324
2015-11-30,30.300666681925456,27.153693867378493,3.146972814546963,2.1808231366734923,27.13754331238415
2015-12-01,30.22600008646647,27.153693867378493,3.0723062190879773,2.1061565412145065,26.413210185044466
2015-12-02,30.61766662597656,27.153693867378493,3.463972758598068,2.497823080724597,26.385543711655792
2015-12-03,30.603666687011717,27.094693892342704,3.5089727946690132,2.4838231417597534,26.712543503119008
2015-12-04,30.30066661834717,27.094693892342704,3.2059727260044646,2.1808230730952047,26.778543551438506
2015-12-05,30.181000010172525,27.094693892342704,3.086306117829821,2.061156464920561,26.804210296942248
2015-12-06,30.3839999516805,27.094693892342704,3.2893060593377967,2.264156406428537,27.08187696106578
2015-12-07,30.200000190734862,27.094693892342704,3.1053062983921578,2.080156645482898,27.180877319647323
2015-12-08,29.987000211079916,27.094693892342704,2.8923063187372122,1.8671566658279524,26.763544225368353
2015-12-09,30.17300008138021,27.094693892342704,3.078306189037505,2.0531565361282453,26.48821113871878
2015-12-10,30.223999977111816,27.096122451055617,3.1278775260561993,2.1041564318598525,26.193544530544138
2015-12-11,30.120333353678387,27.096122451055617,3.0242109026227695,2.0004898084264227,25.879877932542023
2015-12-12,30.266666730244953,27.096122451055617,3.170544279189336,2.1468231849929893,25.84587798086152
2015-12-13,30.745333353678387,27.096122451055617,3.6492109026227695,2.6254898084264227,26.365211248073436
2015-12-14,30.6150000890096,27.096122451055617,3.5188776379539846,2.4951565437576377,26.362544711106477
2015-12-15,30.13300018310547,27.096122451055617,3.0368777320498523,2.0131566378535055,25.89187820720023
2015-12-16,30.071666526794434,27.096122451055617,2.975544075738817,1.9518229815424704,25.662878115647494
2015-12-17,30.068999671936034,26.935809503931576,3.1331901680044574,1.9491561266840698,25.550877777411003
2015-12-18,30.15266647338867,26.935809503931576,3.216856969457094,2.0328229281367065,25.319544299119173
2015-12-19,30.051666514078775,26.935809503931576,3.1158570101471987,1.9318229688268111,25.171210622463086
2015-12-20,30.31399981180827,26.935809503931576,3.378190307876693,2.1941562665563055,25.49821022319144
2015-12-21,30.418333307902017,26.935809503931576,3.482523803970441,2.2984897626500533,25.743543449713247
2015-12-22,30.086333401997884,26.935809503931576,3.1505238980663073,1.9664898567459197,25.605876874599314
2015-12-23,30.05000006357829,26.935809503931576,3.114190559646712,1.9301565183263243,25.535543584499216
2015-12-24,29.657999928792318,26.84717006813101,2.8108298606613076,1.538156383540354,24.92687678304658
2015-12-25,29.20699977874756,26.84717006813101,2.3598297106165482,1.0871562334955946,23.388543208115752
2015-12-26,29.997333399454753,26.84717006813101,3.1501633313237427,1.8774898542027891,22.770876518560904
2015-12-27,29.641000048319498,26.84717006813101,2.7938299801884874,1.5211565030675338,22.278876383774932
2015-12-28,30.175333340962727,26.84717006813101,3.3281632728317163,2.0554897957107627,22.382543197943225
2015-12-29,30.15866667429606,26.84717006813101,3.3114966061650506,2.038823129044097,22.472210200303252
2015-12-30,29.94999993642171,26.84717006813101,3.1028298682907014,1.8301563911697478,22.269543663336293
2015-12-31,29.886666615804035,26.484259252195006,3.4024073636090293,1.7668230705520713,22.104543765061553
2016-01-01,30.065000025431313,27.036489794205647,3.028510231225667,1.9451564801793495,21.855543978684597
2016-01-02,29.94833335876465,27.036489794205647,2.9118435645590033,1.828489813512686,21.38554402954723
2016-01-03,30.043333371480305,27.036489794205647,3.0068435772746582,1.9234898262283409,21.34254399902965
2016-01-04,29.94533322652181,27.036489794205647,2.9088434323161643,1.825489681269847,21.237877161973174
2016-01-05,29.81533342997233,27.036489794205647,2.778843635766684,1.6954898847203665,21.395210663153186
2016-01-06,29.774333318074543,27.036489794205647,2.7378435238688965,1.6544897728225791,21.96254420248017
2016-01-07,29.84833354949951,27.036489794205647,2.8118437552938644,1.728490004247547,21.81354435252493
2016-01-08,29.692333348592122,27.018020384652274,2.6743129639398475,1.572489803340158,21.864877652797553
2016-01-09,29.482999992370605,27.018020384652274,2.4649796077183304,1.3631564471186408,21.17254430420543
2016-01-10,29.352666727701823,27.018020384652274,2.334646343049549,1.2328231824498594,20.366544357611193
2016-01-11,29.74633331298828,27.018020384652274,2.728312928336006,1.6264897677363166,20.162877734177762
2016-01-12,29.813333320617676,27.018020384652274,2.795312935965402,1.6934897753657125,20.089544438991403
2016-01-13,29.44299996693929,27.018020384652274,2.4249795822870155,1.323156421687326,19.46754438049938
2016-01-14,29.310666656494142,27.018020384652274,2.2926462718418676,1.190823111242178,18.829877678228872
2016-01-15,29.180666478474937,26.828612258807333,2.352054219667604,1.0608229332229726,17.967210785223504
2016-01-16,29.616333134969075,26.828612258807333,2.7877208761617425,1.496489589717111,17.638210693670768
2016-01-17,29.631999969482422,26.828612258807333,2.8033877106750893,1.512156424230458,17.45487723318086
