date,SST,climatology,sd,SSTA,HSNAP,HSNAP_accumulation,unique_week_id,HSNAP_accumulation_per_week
1986-09-01,28.630999946594237,27.708169643054948,0.9007335900032085,0.9228303035392891,0.02209671353607945,4.622547724296204,87,4.673222135611838
1986-09-02,28.511666933695476,27.708169643054948,0.9007335900032085,0.8034972906405287,0,4.622547724296204,87,4.673222135611838
1986-09-03,28.640000089009604,27.708169643054948,0.9007335900032085,0.931830445954656,0.0310968559514464,4.653644580247651,87,4.673222135611838
1986-09-04,28.540000089009602,27.708169643054948,0.9007335900032085,0.8318304459546546,0,4.653644580247651,87,4.673222135611838
1986-09-05,28.35300006866455,27.708169643054948,0.9007335900032085,0.6448304256096016,0,4.653644580247651,87,4.673222135611838
1986-09-06,28.861333401997886,27.708169643054948,0.9007335900032085,1.153163758942938,0.25243016893972836,4.906074749187379,87,4.673222135611838
1986-09-07,28.942666562398276,27.708169643054948,0.9007335900032085,1.2344969193433286,0.333763329340119,5.239838078527498,88,5.394778125240761
1986-09-08,28.789666620890298,27.708169643054948,0.9007335900032085,1.08149697783535,0.1807633878321404,5.4206014663596385,88,5.394778125240761
1986-09-09,28.50033334096273,27.708169643054948,0.9007335900032085,0.7921636979077817,0,5.4206014663596385,88,5.394778125240761
1986-09-10,28.030666987101238,27.708169643054948,0.9007335900032085,0.3224973440462904,0,5.4206014663596385,88,5.394778125240761
1986-09-11,27.963666598002117,27.708169643054948,0.9007335900032085,0.2554969549471693,0,5.4206014663596385,88,5.394778125240761
1986-09-12,27.66266657511393,27.708169643054948,0.9007335900032085,-0.04550306794101644,0,5.4206014663596385,88,5.394778125240761
1986-09-13,27.91299991607666,27.708169643054948,0.9007335900032085,0.20483027302171308,0,5.4206014663596385,88,5.394778125240761
1986-09-14,28.438666534423827,27.708169643054948,0.9007335900032085,0.7304968913688796,0,5.4206014663596385,89,5.4206014663596385
1986-09-15,28.356999969482423,27.708169643054948,0.9007335900032085,0.6488303264274755,0,5.4206014663596385,89,5.4206014663596385
1986-09-16,27.96766668955485,27.708169643054948,0.9007335900032085,0.25949704649990224,0,5.4206014663596385,89,5.4206014663596385
1986-09-17,28.136999956766765,27.708169643054948,0.9007335900032085,0.428830313711817,0,5.4206014663596385,89,5.4206014663596385
1986-09-18,28.295000076293945,27.708169643054948,0.9007335900032085,0.5868304332389975,0,5.4206014663596385,89,5.4206014663596385
1986-09-19,28.417000007629394,27.708169643054948,0.9007335900032085,0.708830364574446,0,5.4206014663596385,89,5.4206014663596385
1986-09-20,28.439667065938313,27.708169643054948,0.9007335900032085,0.7314974228833648,0,5.4206014663596385,89,5.4206014663596385
1986-09-21,28.609333356221516,27.708169643054948,0.9007335900032085,0.901163713166568,4.3012316335833134e-4,5.421031589522997,90,5.489154476042513
1986-09-22,28.402666664123537,27.708169643054948,0.9007335900032085,0.6944970210685888,0,5.421031589522997,90,5.489154476042513
1986-09-23,28.301666704813638,27.708169643054948,0.9007335900032085,0.5934970617586899,0,5.421031589522997,90,5.489154476042513
1986-09-24,28.25633347829183,27.708169643054948,0.9007335900032085,0.5481638352368812,0,5.421031589522997,90,5.489154476042513
1986-09-25,28.192666562398276,27.708169643054948,0.9007335900032085,0.4844969193433286,0,5.421031589522997,90,5.489154476042513
1986-09-26,28.847333335876463,27.708169643054948,0.9007335900032085,1.1391636928215156,0.238430102818306,5.659461692341303,90,5.489154476042513
1986-09-27,28.28866672515869,27.708169643054948,0.9007335900032085,0.5804970821037436,0,5.659461692341303,90,5.489154476042513
1986-09-28,27.952333323160808,27.708169643054948,0.9007335900032085,0.24416368010585998,0,5.659461692341303,91,5.692332668493197
1986-09-29,27.741333325703938,27.708169643054948,0.9007335900032085,0.033163682648989834,0,5.659461692341303,91,5.692332668493197
1986-09-30,27.712333297729494,27.708169643054948,0.9007335900032085,0.004163654674545825,0,5.659461692341303,91,5.692332668493197
1986-10-01,28.259999974568686,27.708169643054948,0.9007335900032085,0.5518303315137381,0,5.659461692341303,91,5.692332668493197
1986-10-02,28.176333236694337,27.708169643054948,0.9007335900032085,0.46816359363938886,0,5.659461692341303,91,5.692332668493197
1986-10-03,28.402333068847657,27.708169643054948,0.9007335900032085,0.6941634257927092,0,5.659461692341303,91,5.692332668493197
1986-10-04,28.839000066121418,27.708169643054948,0.9007335900032085,1.1308304230664703,0.23009683306326068,5.8895585254045635,91,5.692332668493197
1986-10-05,28.8573335647583,27.708169643054948,0.9007335900032085,1.1491639217033516,0.24843033170014195,6.137988857104705,92,6.639474189196932
1986-10-06,28.946666590372722,27.708169643054948,0.9007335900032085,1.238496947317774,0.3377633573145644,6.47575221441927,92,6.639474189196932
1986-10-07,28.905666669209797,27.708169643054948,0.9007335900032085,1.1974970261548492,0.2967634361516396,6.772515650570909,92,6.639474189196932
1986-10-08,28.459666570027668,27.708169643054948,0.9007335900032085,0.7514969269727203,0,6.772515650570909,92,6.639474189196932
1986-10-09,28.307999928792317,27.708169643054948,0.9007335900032085,0.5998302857373687,0,6.772515650570909,92,6.639474189196932
1986-10-10,28.112000020345054,27.708169643054948,0.9007335900032085,0.40383037729010596,0,6.772515650570909,92,6.639474189196932
1986-10-11,27.932333374023436,27.708169643054948,0.9007335900032085,0.2241637309684883,0,6.772515650570909,92,6.639474189196932
1986-10-12,27.69566650390625,27.708169643054948,0.9007335900032085,-0.012503139148698494,0,6.772515650570909,93,6.772515650570909
1986-10-13,27.759333483378093,27.708169643054948,0.9007335900032085,0.05116384032314514,0,6.772515650570909,93,6.772515650570909
1986-10-14,27.444666735331218,27.708169643054948,0.9007335900032085,-0.26350290772372986,0,6.772515650570909,93,6.772515650570909
1986-10-15,27.48566659291585,27.708169643054948,0.9007335900032085,-0.2225030501390961,0,6.772515650570909,93,6.772515650570909
1986-10-16,27.452000109354653,27.708169643054948,0.9007335900032085,-0.2561695337002945,0,6.772515650570909,93,6.772515650570909
1986-10-17,27.688333320617676,27.708169643054948,0.9007335900032085,-0.019836322437271292,0,6.772515650570909,93,6.772515650570909
1986-10-18,27.7089999516805,27.708169643054948,0.9007335900032085,8.30308625552334e-4,0,6.772515650570909,93,6.772515650570909
1986-10-19,27.949666659037273,27.708169643054948,0.9007335900032085,0.24149701598232554,0,6.772515650570909,94,6.77910090117465
1986-10-20,28.03700008392334,27.708169643054948,0.9007335900032085,0.32883044086839064,0,6.772515650570909,94,6.77910090117465
1986-10-21,28.11599998474121,27.708169643054948,0.9007335900032085,0.40783034168626386,0,6.772515650570909,94,6.77910090117465
1986-10-22,28.06933339436849,27.708169643054948,0.9007335900032085,0.3611637513135406,0,6.772515650570909,94,6.77910090117465
1986-10-23,28.36966673533122,27.708169643054948,0.9007335900032085,0.6614970922762708,0,6.772515650570909,94,6.77910090117465
1986-10-24,28.551000022888182,27.708169643054948,0.9007335900032085,0.8428303798332344,0,6.772515650570909,94,6.77910090117465
